epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10035.3,1.10387,0.77411,1.42728,0.96047,0.94127,0.95383,0.5992,1.31714,0.64484,1.33636,0.005842,0.005842,0.005842
44,10312.1,1.10265,0.7675,1.42993,0.961,0.94331,0.9539,0.59979,1.31325,0.64236,1.33412,0.005743,0.005743,0.005743
45,10613.3,1.10148,0.76596,1.42798,0.9619,0.94362,0.95431,0.60034,1.31272,0.64392,1.33311,0.005644,0.005644,0.005644
46,10917.8,1.09657,0.7653,1.42289,0.96158,0.94394,0.9542,0.60156,1.30891,0.64461,1.33089,0.005545,0.005545,0.005545
47,11218,1.09169,0.76275,1.41866,0.95998,0.94485,0.95442,0.60214,1.30695,0.64644,1.32928,0.005446,0.005446,0.005446
48,11470.2,1.09515,0.75722,1.41882,0.96059,0.9442,0.95445,0.60319,1.30364,0.65233,1.32737,0.005347,0.005347,0.005347
49,11721.2,1.09015,0.7572,1.41474,0.95922,0.94485,0.95445,0.60395,1.29832,0.65247,1.32449,0.005248,0.005248,0.005248
50,11969.3,1.08856,0.75494,1.41685,0.95858,0.94485,0.95437,0.60503,1.29579,0.65365,1.32294,0.005149,0.005149,0.005149
51,12221.2,1.07899,0.74785,1.41062,0.95707,0.94496,0.95464,0.60724,1.29233,0.65425,1.32104,0.00505,0.00505,0.00505
52,12467.5,1.077,0.74934,1.40633,0.95745,0.94485,0.95562,0.60862,1.28949,0.6503,1.31902,0.004951,0.004951,0.004951
53,12714.4,1.08211,0.75044,1.40522,0.95774,0.94576,0.95583,0.61015,1.28576,0.64655,1.31656,0.004852,0.004852,0.004852
54,12978.4,1.07293,0.73977,1.40357,0.9584,0.94576,0.95603,0.61126,1.28169,0.64677,1.31449,0.004753,0.004753,0.004753
55,13242,1.07638,0.74714,1.40565,0.95711,0.94622,0.95727,0.61162,1.27985,0.64424,1.31321,0.004654,0.004654,0.004654
56,13499.9,1.06799,0.73863,1.39864,0.95656,0.94576,0.95576,0.61118,1.27702,0.64257,1.31134,0.004555,0.004555,0.004555
57,13766.2,1.06873,0.73661,1.39862,0.95791,0.94531,0.95476,0.61264,1.27247,0.63839,1.30859,0.004456,0.004456,0.004456
58,14033.9,1.06769,0.73841,1.39773,0.95755,0.94586,0.95633,0.61475,1.26978,0.63728,1.30688,0.004357,0.004357,0.004357
59,14303.8,1.05984,0.7332,1.39491,0.95834,0.94531,0.95516,0.61564,1.2665,0.63653,1.30474,0.004258,0.004258,0.004258
60,14578.9,1.06343,0.72543,1.39515,0.95845,0.94632,0.95703,0.61784,1.26022,0.63331,1.30099,0.004159,0.004159,0.004159
61,14852.5,1.05699,0.72378,1.38989,0.9584,0.94576,0.95707,0.61884,1.25699,0.63037,1.29886,0.00406,0.00406,0.00406
62,15126.1,1.05355,0.72341,1.38925,0.95996,0.94576,0.95624,0.61946,1.25385,0.62899,1.2967,0.003961,0.003961,0.003961
63,15391.9,1.0498,0.71165,1.38611,0.96014,0.94531,0.95732,0.61938,1.25173,0.62967,1.29507,0.003862,0.003862,0.003862
64,15648.1,1.05024,0.71707,1.38103,0.96083,0.94531,0.95722,0.62057,1.24775,0.62807,1.29257,0.003763,0.003763,0.003763
65,15895.4,1.04934,0.7139,1.38252,0.96088,0.94485,0.95689,0.62232,1.24564,0.6232,1.29102,0.003664,0.003664,0.003664
66,16145,1.04228,0.71223,1.37967,0.96123,0.94531,0.95801,0.62311,1.2429,0.61921,1.28929,0.003565,0.003565,0.003565
67,16395.5,1.04226,0.71188,1.3822,0.96089,0.94485,0.95786,0.62438,1.24108,0.61545,1.28765,0.003466,0.003466,0.003466
68,16634.8,1.04052,0.71183,1.38135,0.96198,0.94553,0.96049,0.62506,1.23921,0.61563,1.28601,0.003367,0.003367,0.003367
69,16879.6,1.03891,0.71222,1.37869,0.96291,0.94671,0.96144,0.62618,1.23589,0.61365,1.28391,0.003268,0.003268,0.003268
70,17125.8,1.03268,0.70496,1.37182,0.96468,0.9461,0.96201,0.62706,1.23437,0.61365,1.28279,0.003169,0.003169,0.003169
71,17369.6,1.0318,0.70421,1.37271,0.96468,0.94611,0.96239,0.62758,1.23178,0.61236,1.28141,0.00307,0.00307,0.00307
72,17612.1,1.03294,0.69647,1.37264,0.96476,0.94576,0.96198,0.62895,1.2287,0.6096,1.27956,0.002971,0.002971,0.002971
73,17880.8,1.02746,0.69386,1.36749,0.96571,0.94667,0.96237,0.63112,1.22469,0.60604,1.27694,0.002872,0.002872,0.002872
74,18127.8,1.02022,0.6931,1.36327,0.96598,0.94667,0.9622,0.63147,1.22173,0.60393,1.27488,0.002773,0.002773,0.002773
75,18372.7,1.0205,0.69145,1.36379,0.96723,0.94758,0.96298,0.63193,1.21791,0.60213,1.27264,0.002674,0.002674,0.002674
76,18615.9,1.01994,0.68787,1.36153,0.96778,0.94758,0.9629,0.63364,1.21536,0.60205,1.27086,0.002575,0.002575,0.002575
77,18869.1,1.01506,0.68558,1.35668,0.96827,0.94758,0.96293,0.63361,1.21426,0.59824,1.26999,0.002476,0.002476,0.002476
78,19111.8,1.01469,0.68124,1.35741,0.96823,0.94713,0.96302,0.63544,1.21233,0.59645,1.26859,0.002377,0.002377,0.002377
79,19349,1.00606,0.67489,1.35472,0.96822,0.94713,0.9631,0.63612,1.21011,0.59346,1.26732,0.002278,0.002278,0.002278
80,19587.2,1.00675,0.67992,1.3517,0.96788,0.94769,0.96326,0.6361,1.2091,0.59331,1.26615,0.002179,0.002179,0.002179
81,19825.1,1.0063,0.67926,1.35319,0.9675,0.94758,0.96333,0.63611,1.20787,0.59262,1.26499,0.00208,0.00208,0.00208
82,20061.2,0.99849,0.67537,1.3483,0.96787,0.94751,0.96336,0.63778,1.20591,0.59207,1.26374,0.001981,0.001981,0.001981
83,20295.7,0.99849,0.66935,1.34592,0.96764,0.94713,0.96344,0.63792,1.20422,0.59151,1.26284,0.001882,0.001882,0.001882
84,20530,0.99604,0.66828,1.3457,0.9675,0.94713,0.96352,0.63965,1.20211,0.58883,1.26149,0.001783,0.001783,0.001783
85,20765.2,0.99442,0.66566,1.34512,0.96809,0.94758,0.96487,0.64084,1.20001,0.58746,1.2604,0.001684,0.001684,0.001684
86,20999.7,0.98477,0.65832,1.33926,0.9679,0.94758,0.9649,0.64224,1.19791,0.58602,1.25922,0.001585,0.001585,0.001585
87,21233.2,0.98688,0.65418,1.34091,0.96698,0.94759,0.96495,0.6427,1.19553,0.58392,1.25822,0.001486,0.001486,0.001486
88,21465.9,0.98523,0.66141,1.33748,0.96765,0.94758,0.96486,0.64278,1.1927,0.58439,1.25675,0.001387,0.001387,0.001387
89,269.515,0.98919,0.66577,1.34614,0.9669,0.94758,0.96477,0.64339,1.1922,0.58395,1.25655,0.001288,0.001288,0.001288
90,496.192,0.9894,0.66311,1.34391,0.96649,0.94758,0.96468,0.64505,1.19131,0.58366,1.25604,0.001189,0.001189,0.001189
91,767.346,0.83249,0.39965,1.30997,0.96828,0.94758,0.96463,0.64487,1.18949,0.5841,1.25523,0.00109,0.00109,0.00109
92,1033.76,0.82077,0.39214,1.30017,0.96879,0.9478,0.96577,0.64561,1.18729,0.58328,1.25412,0.000991,0.000991,0.000991
93,1270.91,0.80712,0.38693,1.28765,0.9686,0.94758,0.96522,0.64668,1.18411,0.58125,1.25252,0.000892,0.000892,0.000892
94,1499.81,0.79926,0.38417,1.28488,0.96866,0.94758,0.96528,0.64862,1.18151,0.58065,1.25156,0.000793,0.000793,0.000793
95,1735.37,0.79258,0.37934,1.28417,0.96894,0.94758,0.96534,0.64881,1.17854,0.5802,1.25022,0.000694,0.000694,0.000694
96,317.089,0.81758,0.39086,1.30047,0.96918,0.94758,0.96521,0.64918,1.17763,0.58184,1.24968,0.000595,0.000595,0.000595
97,589.035,0.8018,0.38514,1.28792,0.96943,0.94804,0.96625,0.65023,1.17633,0.58177,1.24921,0.000496,0.000496,0.000496
98,856.649,0.8025,0.38132,1.2879,0.96773,0.94804,0.96626,0.65055,1.17487,0.58036,1.24865,0.000397,0.000397,0.000397
99,1125.03,0.78956,0.37547,1.27768,0.969,0.94804,0.96611,0.6522,1.17238,0.57974,1.24735,0.000298,0.000298,0.000298
100,1401.87,0.79296,0.37611,1.28332,0.96826,0.9485,0.96624,0.65249,1.17002,0.57803,1.24596,0.000199,0.000199,0.000199
